stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening F:\C-projects\C-games\blasteroids\SELF-CONTAINED\bin\Debug\allegro5.cfg r
display  D   display_settings.c:212  debug_display_settings           [   0.16557] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16559] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16560] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16562] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16563] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16565] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16573] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16574] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16575] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16577] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16578] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16579] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16580] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16581] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16582] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16583] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16584] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16585] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16586] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16587] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16588] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16589] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16590] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16591] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16593] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16600] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16602] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16605] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16607] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16609] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16612] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16614] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16615] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16616] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16617] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16618] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16619] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16621] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16622] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16623] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16624] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16625] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16626] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16627] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16628] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16629] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16630] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16631] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16632] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16633] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16634] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16635] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16636] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16637] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16638] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16639] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16640] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16641] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16642] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16644] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16644] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16647] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16649] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.16651] Score is : 513
display  D   display_settings.c:212  debug_display_settings           [   0.16652] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16653] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16654] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16655] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16656] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16658] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16659] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16660] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16661] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16662] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16663] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16664] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16665] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16666] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16667] color: 32 (rgba 8880), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16668] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16669] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16670] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16671] color: 16 (rgba 5650), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16673] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16674] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16675] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16676] color: 16 (rgba 5650), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16677] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16678] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16679] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16680] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16681] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16682] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16683] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.16684] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.16685] Single Buffer requirement not met.
d3d      D         d3d_disp.cpp:1669 d3d_create_display_internals     [   0.16687] Trying format 0.
d3d      I         d3d_disp.cpp:1344 d3d_display_thread_proc          [   0.16714] Chose a display format: 23
d3d      I         d3d_disp.cpp:1413 d3d_display_thread_proc          [   0.16718] Normal window.
d3d      I         d3d_disp.cpp:781  d3d_create_device                [   0.23619] Using no depth stencil buffer
d3d      D         d3d_disp.cpp:839  d3d_create_device                [   0.26240] BeginScene succeeded in create_device
d3d      D         d3d_disp.cpp:847  d3d_create_device                [   0.26254] Success
d3d      D         d3d_disp.cpp:1692 d3d_create_display_internals     [   0.26265] Resumed after wait.
d3d      I         d3d_disp.cpp:1725 d3d_create_display_internals     [   0.26273] Format 0 succeeded.
d3d      D         d3d_disp.cpp:1756 d3d_create_display_internals     [   0.26288] Returning d3d_display: 034EA9A0
d3d      D         d3d_disp.cpp:1781 d3d_create_display_locked        [   0.26294] al_display=034EA9A0
d3d      D         d3d_disp.cpp:1782 d3d_create_display_locked        [   0.26298] al_display->vt=034E5498
system   D            wsystem.c:771  _al_win_safe_load_library        [   0.26409] PathFindOnPath found: C:\Windows\system32\d3dx9_43.dll
